divipola,municipio,departamento,codigo_departamento,subregion_pdet
19050,ARGELIA,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19075,BALBOA,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19110,BUENOS AIRES,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19130,CAJIBÍO,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19137,CALDONO,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19142,CALOTO,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19212,CORINTO,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19256,EL TAMBO,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19364,JAMBALÓ,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19450,MERCADERES,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19455,MIRANDA,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19473,MORALES,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19532,PATÍA,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19548,PIENDAMÓ,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19698,SANTANDER DE QUILICHAO,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19780,SUÁREZ,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
19821,TORIBIO,CAUCA,19,ALTO PATÍA Y NORTE DEL CAUCA
52233,CUMBITARA,NARIÑO,52,ALTO PATÍA Y NORTE DEL CAUCA
52256,EL ROSARIO,NARIÑO,52,ALTO PATÍA Y NORTE DEL CAUCA
52405,LEIVA,NARIÑO,52,ALTO PATÍA Y NORTE DEL CAUCA
52418,LOS ANDES,NARIÑO,52,ALTO PATÍA Y NORTE DEL CAUCA
52540,POLICARPA,NARIÑO,52,ALTO PATÍA Y NORTE DEL CAUCA
76275,FLORIDA,VALLE DEL CAUCA,76,ALTO PATÍA Y NORTE DEL CAUCA
76563,PRADERA,VALLE DEL CAUCA,76,ALTO PATÍA Y NORTE DEL CAUCA
81065,ARAUQUITA,ARAUCA,81,ARAUCA
81300,FORTUL,ARAUCA,81,ARAUCA
81736,SARAVENA,ARAUCA,81,ARAUCA
81794,TAME,ARAUCA,81,ARAUCA
05031,AMALFI,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05040,ANORÍ,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05107,BRICEÑO,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05120,CÁCERES,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05154,CAUCASIA,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05250,EL BAGRE,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05361,ITUANGO,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05495,NECHÍ,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05604,REMEDIOS,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05736,SEGOVIA,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05790,TARAZÁ,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05854,VALDIVIA,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05895,ZARAGOZA,ANTIOQUIA,05,BAJO CAUCA Y NORDESTE ANTIOQUEÑO
54206,CONVENCIÓN,NORTE DE SANTANDER,54,CATATUMBO
54245,EL CARMEN,NORTE DE SANTANDER,54,CATATUMBO
54250,EL TARRA,NORTE DE SANTANDER,54,CATATUMBO
54344,HACARÍ,NORTE DE SANTANDER,54,CATATUMBO
54670,SAN CALIXTO,NORTE DE SANTANDER,54,CATATUMBO
54720,SARDINATA,NORTE DE SANTANDER,54,CATATUMBO
54800,TEORAMA,NORTE DE SANTANDER,54,CATATUMBO
54810,TIBÚ,NORTE DE SANTANDER,54,CATATUMBO
05475,MURINDÓ,ANTIOQUIA,05,CHOCÓ
05873,VIGÍA DEL FUERTE,ANTIOQUIA,05,CHOCÓ
27006,ACANDÍ,CHOCÓ,27,CHOCÓ
27099,BOJAYA,CHOCÓ,27,CHOCÓ
27150,CARMEN DEL DARIEN,CHOCÓ,27,CHOCÓ
27205,CONDOTO,CHOCÓ,27,CHOCÓ
27250,EL LITORAL DEL SAN JUAN,CHOCÓ,27,CHOCÓ
27361,ISTMINA,CHOCÓ,27,CHOCÓ
27425,MEDIO ATRATO,CHOCÓ,27,CHOCÓ
27450,MEDIO SAN JUAN,CHOCÓ,27,CHOCÓ
27491,NÓVITA,CHOCÓ,27,CHOCÓ
27615,RIOSUCIO,CHOCÓ,27,CHOCÓ
27745,SIPÍ,CHOCÓ,27,CHOCÓ
