subregion_pdet,munis,total_area_sqkm
MACARENA - GUAVIARE,12,96168.8
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,17,93298.4
CHOCÓ,14,29548.4
PUTUMAYO,9,25062.7
SIERRA NEVADA - PERIJÁ,15,20414.9
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,13,17615.2
PACÍFICO Y FRONTERA NARIÑENSE,11,17118.6
PACÍFICO MEDIO,4,14302.1
ALTO PATÍA Y NORTE DEL CAUCA,24,13177.8
ARAUCA,4,10539.5
SUR DE BOLÍVAR,7,10331.9
SUR DE CÓRDOBA,5,9581.2
URABÁ ANTIOQUEÑO,8,9459.3
CATATUMBO,8,9237.6
SUR DEL TOLIMA,4,6918.9
MONTES DE MARÍA,15,6406.9
TOTAL,170,389182.0
