building_count,divipola,source,name,department,total_rooftop_sqm,mean_area_sqm,min_confidence_used,computed_at,median_area_sqm
13708,23855,microsoft,VALENCIA,CÓRDOBA,1219421.21,88.96,,2026-05-24T02:58:48+00:00,69.56
3682,50450,microsoft,PUERTO CONCORDIA,META,386277.22,104.91,,2026-05-24T02:58:48+00:00,76.21
11848,70473,microsoft,MORROA,SUCRE,1874290.37,158.19,,2026-05-24T02:58:48+00:00,98.59
17197,86320,microsoft,ORITO,PUTUMAYO,1960071.7,113.98,,2026-05-24T02:58:48+00:00,77.24
17499,81736,microsoft,SARAVENA,ARAUCA,3080493.15,176.04,,2026-05-24T02:58:48+00:00,86.93
12112,19137,microsoft,CALDONO,CAUCA,1137804.11,93.94,,2026-05-24T02:58:48+00:00,71.47
67435,47001,microsoft,SANTA MARTA,MAGDALENA,14175455.14,210.21,,2026-05-24T02:58:48+00:00,100.49
4140,13042,microsoft,ARENAL,BOLÍVAR,376964.72,91.05,,2026-05-24T02:58:48+00:00,64.82
8718,52079,microsoft,BARBACOAS,NARIÑO,853533.52,97.9,,2026-05-24T02:58:48+00:00,69.63
11594,13657,microsoft,SAN JUAN NEPOMUCENO,BOLÍVAR,1195861.99,103.14,,2026-05-24T02:58:48+00:00,80.36
10314,54250,microsoft,EL TARRA,NORTE DE SANTANDER,1115250.43,108.13,,2026-05-24T02:58:48+00:00,80.95
5270,19418,microsoft,LÓPEZ,CAUCA,460978.6,87.47,,2026-05-24T02:58:48+00:00,67.91
2435,52621,microsoft,ROBERTO PAYÁN,NARIÑO,213626.42,87.73,,2026-05-24T02:58:48+00:00,72.44
10114,05120,microsoft,CÁCERES,ANTIOQUIA,927924.64,91.75,,2026-05-24T02:58:48+00:00,63.15
5127,52256,microsoft,EL ROSARIO,NARIÑO,424126.55,82.72,,2026-05-24T02:58:48+00:00,62.76
10826,73555,microsoft,PLANADAS,TOLIMA,949179.06,87.68,,2026-05-24T02:58:48+00:00,62.11
29059,81065,microsoft,ARAUQUITA,ARAUCA,3461684.37,119.13,,2026-05-24T02:58:48+00:00,80.58
8600,86757,microsoft,SAN MIGUEL,PUTUMAYO,891469.1,103.66,,2026-05-24T02:58:48+00:00,78.55
9920,19050,microsoft,ARGELIA,CAUCA,1039738.36,104.81,,2026-05-24T02:58:48+00:00,76.05
3869,18094,microsoft,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,585168.73,151.25,,2026-05-24T02:58:48+00:00,84.87
7443,50590,microsoft,PUERTO RICO,META,782100.0,105.08,,2026-05-24T02:58:48+00:00,72.39
6376,52250,microsoft,EL CHARCO,NARIÑO,606916.71,95.19,,2026-05-24T02:58:48+00:00,75.31
4100,70204,microsoft,COLOSO,SUCRE,326664.34,79.67,,2026-05-24T02:58:48+00:00,65.42
9468,70508,microsoft,OVEJAS,SUCRE,802366.85,84.75,,2026-05-24T02:58:48+00:00,65.09
8944,05172,microsoft,CHIGORODÓ,ANTIOQUIA,1614758.5,180.54,,2026-05-24T02:58:48+00:00,85.22
7709,95025,microsoft,EL RETORNO,GUAVIARE,827899.08,107.39,,2026-05-24T02:58:48+00:00,74.05
4871,54344,microsoft,HACARÍ,NORTE DE SANTANDER,473887.17,97.29,,2026-05-24T02:58:48+00:00,76.31
6810,05031,microsoft,AMALFI,ANTIOQUIA,865323.42,127.07,,2026-05-24T02:58:48+00:00,64.3
9269,05736,microsoft,SEGOVIA,ANTIOQUIA,994917.99,107.34,,2026-05-24T02:58:48+00:00,70.27
8196,05147,microsoft,CAREPA,ANTIOQUIA,1489952.8,181.79,,2026-05-24T02:58:48+00:00,88.45
8489,41020,microsoft,ALGECIRAS,HUILA,951080.64,112.04,,2026-05-24T02:58:48+00:00,76.39
1764,95200,microsoft,MIRAFLORES,GUAVIARE,206804.78,117.24,,2026-05-24T02:58:48+00:00,72.73
4420,18610,microsoft,SAN JOSÉ DEL FRAGUA,CAQUETÁ,578083.35,130.79,,2026-05-24T02:58:48+00:00,79.57
1553,27450,microsoft,MEDIO SAN JUAN,CHOCÓ,149015.83,95.95,,2026-05-24T02:58:48+00:00,71.88
17339,19548,microsoft,PIENDAMÓ,CAUCA,2287475.43,131.93,,2026-05-24T02:58:48+00:00,88.39
7173,05893,microsoft,YONDÓ,ANTIOQUIA,867583.55,120.95,,2026-05-24T02:58:48+00:00,78.06
6032,95015,microsoft,CALAMAR,GUAVIARE,684255.76,113.44,,2026-05-24T02:58:48+00:00,76.45
